# Machine-readable half of the terminology policy.
#
# Each row: a source term that stays English, and the Persian calque that
# must never appear in its place. `scripts/check-fa.py` reads this file and
# fails the build when the forbidden form shows up in a translation.
#
# Columns (tab-separated):
#   english          source form that must survive in the output
#   forbidden_fa     Persian form that is wrong for this source term
#   scope            `universal`, or a domain pack from glossary-domains.md
#   levels           `system-docs` = one-word field noun, skipped at journal
#                    `all` = multi-word label / named phrase, both levels
#
# `universal` rows are enforced on every document. Domain rows are enforced
# only with `--domains <name>` (or `--domains all`). `--level journal`
# skips `system-docs` rows so a paper may use پیاده‌سازی / گره / مجموعه داده.
# Add a row here at the same time you add a Keep-English note in
# glossary.md; this file is the single source of truth for the checker.

english	forbidden_fa	scope	levels
node	گره	universal	system-docs
nodes	گره‌ها	universal	system-docs
deployment	استقرار	universal	system-docs
deploy	استقرار	universal	system-docs
configuration	پیکربندی	universal	system-docs
configure	پیکربندی	universal	system-docs
implementation	پیاده‌سازی	universal	system-docs
implement	پیاده‌سازی	universal	system-docs
integration	یکپارچه‌سازی	universal	system-docs
firewall	دیوار آتش	universal	system-docs
firewalls	دیوارهای آتش	universal	system-docs
firewalling services	خدمات دیوار آتش	universal	all
encryption	رمزنگاری	universal	system-docs
commands	فرمان‌ها	universal	system-docs
command	فرمان	universal	system-docs
server	کارساز	universal	system-docs
partition	افراز	universal	system-docs
filter	پالایه	universal	system-docs
test vectors	بردارهای آزمون	universal	all
reference implementation	پیاده‌سازی مرجع	universal	all
underlying infrastructure	زیرساخت زیربنایی	universal	all
account with administrative privileges	حسابی با امتیازهای مدیریتی	universal	all
performance and redundancy requirements	نیازمندی‌های کارایی و افزونگی	universal	all
interrelated services	سرویس‌های مرتبط	openstack	all
supporting services	سرویس‌های پشتیبان	openstack	all
complementary services	سرویس‌های مکمل	openstack	all
advanced services	سرویس‌های پیشرفته	openstack	all
password	گذرواژه	openstack	system-docs
passwords	گذرواژه‌ها	openstack	system-docs
Network layout	طرح شبکه	openstack	all
single disk partition	افراز دیسک واحد	openstack	all
physical server	کارساز فیزیکی	openstack	all
cluster	خوشه	kubernetes	system-docs
clusters	خوشه‌ها	kubernetes	system-docs
Continuous Delivery workflows	جریان‌های کاری پیوسته	gitops	all
fee	کارمزد	bitcoin	system-docs
transaction	تراکنش	bitcoin	system-docs
transactions	تراکنش‌ها	bitcoin	system-docs
block	بلوک	bitcoin	system-docs
blocks	بلوک‌ها	bitcoin	system-docs
miner	استخراج‌کننده	bitcoin	system-docs
consensus	اجماع	bitcoin	system-docs
activation	فعال‌سازی	bitcoin	system-docs
dataset	مجموعه داده	ml	system-docs
